Date,Temperature_C,pH,Dissolved_Oxygen_mgL,Conductivity_uS_cm,Turbidity_NTU,TDS_mgL,Ammonia_mgL,Nitrates_mgL,Phosphates_mgL
2018-08-21,32.9,7.7,8.0,395.1,129.9,238.2,0.23,1.64,0.02
2018-08-24,31.5,7.3,7.8,549.8,4.4,369.8,0.18,1.54,0.17
2018-08-27,33.5,7.6,7.3,533.2,3.4,330.8,0.25,1.74,0.08
2018-08-30,30.7,7.5,8.6,537.5,2.9,344.1,0.15,3.0,0.1
2018-09-02,30.2,7.5,8.5,389.2,4.1,242.0,0.24,0.79,0.22
2018-09-05,31.7,7.6,8.0,460.1,8.8,313.7,0.08,1.45,0.15
2018-09-08,31.1,7.6,8.7,369.0,75.0,233.2,0.06,1.01,0.09
2018-09-11,30.6,7.6,8.0,420.0,7.5,280.9,0.15,0.51,0.08
2018-09-14,30.2,7.6,8.6,393.5,3.3,264.7,0.11,0.63,0.04
2018-09-17,29.3,7.5,8.5,520.2,6.4,338.9,0.11,0.89,0.03
2018-09-20,28.2,7.4,8.9,420.6,6.2,280.1,0.12,1.33,0.06
2018-09-23,28.6,7.3,9.2,510.3,5.3,334.4,0.09,2.63,0.06
2018-09-26,27.7,7.4,9.1,491.3,6.0,300.6,0.15,2.07,0.17
2018-09-29,28.6,7.9,8.9,573.8,5.4,368.6,0.05,1.31,0.05
2018-10-02,27.3,7.7,9.4,378.5,6.2,239.9,0.4,0.58,0.08
2018-10-05,26.4,7.3,9.2,510.6,8.3,338.5,0.31,0.84,0.06
2018-10-08,26.4,7.3,9.0,501.6,2.6,316.6,0.32,0.96,0.03
2018-10-11,26.6,7.6,8.9,416.0,8.9,272.2,0.1,1.47,0.06
2018-10-14,25.4,7.6,9.0,493.4,2.7,313.1,0.13,0.57,0.06
2018-10-17,24.9,7.6,10.3,456.4,2.3,314.7,0.36,1.26,0.05
2018-10-20,25.3,7.5,9.2,445.3,20.7,286.5,0.28,2.82,0.06
2018-10-23,25.0,7.5,9.6,400.8,17.7,263.0,0.21,1.72,0.03
2018-10-26,24.0,7.5,9.8,404.5,2.3,260.7,0.1,2.09,0.05
2018-10-29,23.7,7.5,10.1,538.1,4.9,348.9,0.13,1.64,0.07
2018-11-01,23.9,7.2,10.2,445.2,3.0,287.0,0.21,0.73,0.05
2018-11-04,22.2,7.5,10.7,488.3,5.3,331.5,0.08,0.62,0.05
2018-11-07,22.0,7.4,10.3,412.9,10.9,266.7,0.15,2.27,0.02
2018-11-10,22.2,7.5,10.4,420.5,17.0,273.5,0.23,1.69,0.03
2018-11-13,22.3,7.9,10.5,509.4,7.0,343.4,0.17,1.36,0.04
2018-11-16,22.5,7.6,10.3,380.6,4.2,243.5,0.12,0.71,0.05
2018-11-19,23.1,7.5,10.7,427.3,6.6,267.8,0.14,1.42,0.07
2018-11-22,22.4,7.6,10.5,456.8,3.9,298.5,0.5,0.53,0.12
2018-11-25,21.3,7.6,10.9,468.3,14.0,317.4,0.14,0.63,0.03
2018-11-28,21.2,7.6,10.9,442.3,12.2,288.3,0.2,0.87,0.02
2018-12-01,20.2,7.6,11.0,465.1,6.1,311.1,0.18,1.09,0.05
2018-12-04,20.8,7.8,10.8,474.7,4.0,300.8,0.17,0.63,0.05
2018-12-07,20.4,7.3,10.5,472.3,3.7,323.1,0.18,0.63,0.06
2018-12-10,20.8,7.6,10.9,407.4,2.2,243.8,0.11,1.79,0.11
2018-12-13,20.0,7.4,10.8,441.6,10.5,283.4,0.11,1.34,0.1
2018-12-16,20.7,7.6,10.7,515.5,5.0,321.1,0.11,1.26,0.03
2018-12-19,21.4,7.4,10.8,493.4,4.0,292.3,0.05,1.1,0.16
2018-12-22,20.0,7.4,11.0,395.4,5.2,257.9,0.08,4.0,0.03
2018-12-25,20.4,7.5,10.9,462.7,10.5,293.9,0.07,0.55,0.07
2018-12-28,20.6,7.6,10.9,360.6,2.7,233.3,0.27,0.7,0.08
2018-12-31,20.0,7.6,11.0,452.0,11.7,292.6,0.08,1.54,0.08
2019-01-03,20.2,7.3,11.0,538.8,13.4,380.0,0.06,0.65,0.04
2019-01-06,20.0,7.5,11.0,408.5,16.7,262.5,0.06,1.39,0.04
2019-01-09,20.2,7.4,11.0,412.4,4.5,273.2,0.17,1.34,0.06
2019-01-12,20.0,7.3,10.5,491.8,3.2,309.2,0.05,4.0,0.03
2019-01-15,20.2,7.5,11.0,373.7,4.3,237.7,0.11,2.65,0.02
2019-01-18,20.7,7.5,10.9,418.0,4.0,278.7,0.06,3.41,0.06
2019-01-21,21.6,7.9,11.0,503.7,3.0,320.1,0.24,0.62,0.05
2019-01-24,21.4,7.6,10.8,430.1,6.7,294.7,0.37,2.53,0.07
2019-01-27,22.5,7.3,10.3,445.4,5.2,305.1,0.37,0.64,0.03
2019-01-30,20.3,7.4,10.5,488.3,12.0,336.4,0.11,1.5,0.11
2019-02-02,21.8,7.7,10.5,481.1,2.2,284.4,0.15,1.77,0.03
2019-02-05,21.5,7.8,10.3,468.5,7.2,303.4,0.14,0.68,0.13
2019-02-08,23.3,7.3,9.9,433.3,9.2,301.5,0.09,1.5,0.05
2019-02-11,21.2,7.2,10.9,465.5,9.1,297.7,0.11,0.55,0.06
2019-02-14,21.4,7.8,11.0,443.0,12.9,294.1,0.06,0.85,0.13
2019-02-17,21.9,7.6,10.6,441.2,8.5,293.9,0.21,3.04,0.04
2019-02-20,20.9,7.4,10.4,427.3,15.1,279.4,0.08,0.69,0.03
2019-02-23,22.5,7.6,10.5,436.0,4.0,268.7,0.11,0.57,0.05
2019-02-26,22.6,7.1,10.7,416.4,5.5,255.1,0.12,1.09,0.03
2019-03-01,23.7,7.5,9.8,448.4,2.1,297.9,0.13,2.4,0.06
2019-03-04,24.2,7.5,9.8,397.6,2.0,254.0,0.22,0.58,0.04
2019-03-07,25.7,7.6,9.5,393.8,3.4,255.0,0.17,0.94,0.12
2019-03-10,25.4,7.3,9.3,452.5,2.5,281.0,0.16,2.8,0.07
2019-03-13,24.5,7.5,10.0,465.4,3.5,301.5,0.12,0.63,0.02
2019-03-16,24.6,7.4,9.7,492.1,3.0,314.3,0.06,0.87,0.1
2019-03-19,26.1,7.5,9.5,438.0,2.1,285.3,0.1,2.01,0.04
2019-03-22,25.0,7.4,9.4,462.5,14.0,286.0,0.37,1.28,0.04
2019-03-25,27.9,7.4,8.8,477.9,2.0,317.6,0.5,2.29,0.04
2019-03-28,27.8,7.4,9.1,458.6,8.7,282.1,0.18,0.62,0.07
2019-03-31,26.9,7.6,9.1,415.7,2.8,263.0,0.08,3.03,0.05
2019-04-03,26.3,7.6,9.9,462.7,14.2,296.3,0.06,3.23,0.07
2019-04-06,29.1,7.5,8.5,473.2,13.2,313.7,0.1,0.67,0.03
2019-04-09,28.3,7.5,8.9,450.4,7.3,299.5,0.24,0.53,0.2
2019-04-12,29.8,7.3,8.7,349.8,7.6,230.5,0.18,4.0,0.09
2019-04-15,27.9,7.5,8.5,474.1,2.0,300.5,0.27,1.16,0.03
2019-04-18,29.1,7.5,8.1,557.8,23.0,374.0,0.15,1.35,0.08
2019-04-21,29.9,7.9,7.9,433.4,12.5,280.9,0.06,1.46,0.06
2019-04-24,30.3,7.3,8.6,402.7,13.3,268.2,0.06,2.06,0.03
2019-04-27,30.3,7.7,8.1,460.0,7.4,302.0,0.05,2.17,0.03
2019-04-30,31.5,7.6,8.7,466.6,4.1,296.2,0.13,0.72,0.02
2019-05-03,30.5,7.5,8.0,520.7,13.2,320.8,0.08,0.77,0.1
2019-05-06,31.5,7.8,8.0,384.5,3.7,257.5,0.18,2.59,0.06
2019-05-09,32.0,7.6,8.2,484.2,6.1,292.7,0.17,2.21,0.04
2019-05-12,32.7,7.6,8.2,475.5,2.5,296.8,0.09,1.46,0.03
2019-05-15,33.1,7.5,8.1,437.5,14.8,287.6,0.07,4.0,0.05
2019-05-18,31.9,7.7,8.2,469.9,2.8,288.5,0.06,1.83,0.06
2019-05-21,31.9,7.7,8.1,486.5,3.3,301.4,0.18,0.74,0.08
2019-05-24,34.4,7.4,7.3,506.4,6.1,302.3,0.11,2.37,0.2
2019-05-27,33.8,7.3,7.5,386.2,9.2,252.7,0.09,1.04,0.05
2019-05-30,33.2,7.5,7.3,498.2,6.8,322.7,0.24,0.54,0.05
2019-06-02,35.0,7.4,7.0,434.1,3.3,308.8,0.14,0.89,0.04
2019-06-05,34.3,7.5,7.2,460.3,2.0,290.0,0.12,1.94,0.11
2019-06-08,35.0,7.7,7.0,460.4,9.1,295.2,0.19,3.72,0.03
2019-06-11,34.6,7.4,7.0,446.3,23.1,287.5,0.22,0.82,0.04
2019-06-14,35.0,7.5,7.2,499.6,10.3,334.4,0.17,0.78,0.08
2019-06-17,35.0,7.5,7.3,448.3,5.1,284.9,0.11,1.33,0.02
2019-06-20,34.6,7.6,7.1,382.2,13.7,251.0,0.1,2.17,0.04
2019-06-23,35.0,7.2,7.4,427.8,4.6,263.2,0.2,1.87,0.07
2019-06-26,35.0,7.4,7.0,469.2,5.7,289.9,0.12,1.32,0.03
2019-06-29,35.0,7.5,7.0,519.4,5.2,323.8,0.17,1.5,0.04
2019-07-02,34.2,7.7,7.0,480.3,5.0,297.3,0.27,0.78,0.05
2019-07-05,35.0,7.4,7.0,397.7,9.5,259.2,0.3,1.07,0.05
2019-07-08,35.0,7.2,7.0,580.7,5.7,365.0,0.08,0.79,0.03
2019-07-11,33.5,7.6,7.4,463.4,117.6,300.8,0.07,2.66,0.16
2019-07-14,33.9,7.4,7.7,490.6,3.5,321.9,0.08,0.62,0.02
2019-07-17,33.1,7.3,7.7,450.2,2.2,308.2,0.19,1.64,0.09
2019-07-20,34.4,7.4,7.0,476.4,6.4,304.6,0.1,0.8,0.02
2019-07-23,35.0,7.5,7.6,504.0,3.3,313.0,0.07,1.15,0.05
2019-07-26,35.0,7.4,7.4,500.0,2.8,312.6,0.06,0.86,0.03
2019-07-29,34.3,7.2,7.4,471.1,7.3,306.4,0.09,0.89,0.03
2019-08-01,35.0,7.6,7.0,496.4,7.7,308.8,0.06,0.8,0.03
2019-08-04,32.7,7.7,7.3,437.2,9.0,274.7,0.07,1.9,0.05
2019-08-07,32.3,7.6,7.6,404.5,5.5,252.7,0.17,0.96,0.06
2019-08-10,33.4,7.3,7.8,456.8,13.2,284.6,0.05,1.8,0.03
2019-08-13,33.5,7.5,8.0,524.2,15.8,334.5,0.06,1.11,0.21
2019-08-16,32.9,7.5,8.0,435.8,10.2,294.1,0.24,1.29,0.03
2019-08-19,31.0,7.6,7.9,510.6,7.0,348.9,0.24,1.28,0.05
2019-08-22,32.3,7.6,7.4,516.1,3.8,326.6,0.09,4.0,0.03
2019-08-25,31.0,7.4,8.1,383.3,22.4,264.5,0.06,0.96,0.05
2019-08-28,32.3,7.5,7.2,406.5,3.6,257.4,0.17,0.73,0.09
2019-08-31,31.7,7.6,8.0,440.3,3.1,274.5,0.09,2.93,0.06
2019-09-03,30.3,7.7,8.2,461.4,4.9,301.7,0.05,0.69,0.04
2019-09-06,30.3,7.6,8.1,422.6,2.3,268.8,0.07,2.3,0.03
2019-09-09,29.5,7.6,8.0,520.3,21.2,344.2,0.06,0.66,0.09
2019-09-12,29.9,7.5,8.5,469.7,6.4,279.8,0.14,1.58,0.03
2019-09-15,30.4,7.7,8.1,439.3,6.1,297.4,0.28,0.66,0.04
2019-09-18,28.5,7.6,8.4,383.1,7.3,253.9,0.21,3.07,0.03
2019-09-21,29.3,7.4,7.7,364.7,5.4,230.3,0.13,1.33,0.03
2019-09-24,28.1,7.7,8.8,443.5,2.2,269.9,0.1,0.9,0.03
2019-09-27,27.5,7.6,9.5,350.8,6.7,239.5,0.15,0.65,0.13
2019-09-30,27.6,7.4,9.5,505.7,8.3,330.8,0.11,0.96,0.09
2019-10-03,26.5,7.4,9.1,441.5,4.7,285.4,0.08,1.72,0.06
2019-10-06,26.5,7.5,9.1,598.2,9.1,368.5,0.16,0.99,0.03
2019-10-09,25.6,7.6,9.6,558.3,3.3,359.1,0.26,0.78,0.06
2019-10-12,27.7,7.5,8.6,438.3,3.3,284.5,0.1,1.36,0.06
2019-10-15,25.8,7.5,9.5,428.7,2.9,289.8,0.23,1.04,0.06
2019-10-18,24.9,7.8,9.9,492.4,4.3,314.1,0.11,0.68,0.02
2019-10-21,25.2,7.7,10.0,541.7,11.4,325.9,0.1,0.67,0.2
2019-10-24,24.6,7.5,9.7,382.4,10.8,245.4,0.05,1.73,0.05
2019-10-27,24.2,7.6,9.8,356.5,4.4,245.4,0.17,4.0,0.15
2019-10-30,24.5,7.3,9.5,426.5,6.4,262.4,0.21,0.77,0.02
2019-11-02,24.3,7.6,9.6,460.0,8.4,305.6,0.16,1.98,0.03
2019-11-05,22.9,7.8,10.2,481.4,3.4,307.0,0.07,0.59,0.03
2019-11-08,22.5,7.5,10.4,495.4,2.9,330.1,0.06,0.98,0.09
2019-11-11,22.5,7.4,10.6,393.1,19.9,247.9,0.14,1.21,0.04
2019-11-14,20.6,7.4,10.6,331.7,6.8,209.3,0.1,0.81,0.11
2019-11-17,20.9,7.3,11.0,506.1,21.9,327.3,0.11,1.25,0.11
2019-11-20,23.0,7.4,10.1,399.8,144.9,268.1,0.39,2.64,0.08
2019-11-23,22.9,7.4,10.2,355.4,8.1,227.6,0.18,3.39,0.07
2019-11-26,21.2,7.3,10.5,454.5,3.3,296.7,0.1,0.61,0.08
2019-11-29,21.6,7.5,9.8,488.1,3.5,320.3,0.05,0.82,0.08
2019-12-02,21.2,7.6,10.9,442.1,5.6,267.1,0.05,4.0,0.04
2019-12-05,23.3,7.4,10.4,418.7,3.9,283.0,0.17,0.82,0.08
2019-12-08,21.5,7.7,10.5,441.9,2.9,277.8,0.23,1.68,0.13
2019-12-11,20.4,7.6,10.9,430.8,3.5,288.3,0.17,0.79,0.04
2019-12-14,20.0,7.7,11.0,385.0,2.2,247.0,0.1,0.94,0.16
2019-12-17,20.0,7.4,10.5,415.1,8.1,280.2,0.05,0.71,0.02
2019-12-20,20.3,7.6,10.8,484.0,5.4,320.6,0.39,2.44,0.04
2019-12-23,20.0,7.3,11.0,475.3,2.5,310.7,0.48,2.64,0.03
2019-12-26,20.0,7.6,10.6,447.9,2.9,274.2,0.13,0.85,0.03
2019-12-29,20.0,7.5,11.0,408.9,2.5,275.9,0.06,2.23,0.1
2020-01-01,20.0,7.6,10.6,429.1,6.7,261.6,0.13,0.94,0.15
2020-01-04,21.4,7.3,10.8,347.0,2.5,233.6,0.27,0.6,0.1
2020-01-07,20.7,7.4,10.8,465.1,9.0,296.0,0.16,1.92,0.21
2020-01-10,20.1,7.6,10.5,502.3,2.1,347.1,0.18,1.41,0.03
2020-01-13,21.3,7.4,11.0,377.2,3.4,253.2,0.06,0.82,0.03
2020-01-16,20.3,7.6,10.7,416.0,13.1,282.5,0.06,0.79,0.06
2020-01-19,20.0,7.3,10.8,458.9,118.9,306.2,0.06,4.0,0.11
2020-01-22,21.7,7.6,10.6,526.2,2.4,325.0,0.28,2.48,0.02
2020-01-25,21.1,7.3,11.0,421.1,10.6,266.6,0.12,2.16,0.29
2020-01-28,20.0,7.6,10.7,407.3,5.4,274.6,0.21,0.64,0.07
2020-01-31,20.8,7.6,10.8,352.3,11.4,233.8,0.06,1.91,0.21
2020-02-03,20.5,7.4,11.0,462.0,6.6,309.7,0.31,0.74,0.04
2020-02-06,20.3,7.6,11.0,550.7,7.7,364.4,0.22,4.0,0.05
2020-02-09,22.4,7.5,10.4,475.5,27.2,299.7,0.08,0.55,0.09
2020-02-12,23.4,7.4,10.0,454.2,3.3,283.7,0.26,0.93,0.1
2020-02-15,21.0,7.3,10.5,444.3,6.9,296.2,0.08,1.06,0.03
2020-02-18,22.9,7.2,10.3,444.2,5.1,268.4,0.07,2.24,0.15
2020-02-21,22.2,7.6,10.1,403.7,2.2,286.2,0.08,1.95,0.12
2020-02-24,22.6,7.3,9.4,496.0,2.1,318.6,0.29,0.97,0.02
2020-02-27,22.9,7.5,10.4,435.0,2.6,290.7,0.3,1.33,0.03
2020-03-01,23.0,7.5,10.5,476.4,7.2,294.7,0.09,2.31,0.05
2020-03-04,24.0,7.6,9.2,406.5,6.2,280.1,0.17,0.52,0.05
2020-03-07,23.7,7.5,9.7,516.7,6.0,360.9,0.16,2.12,0.08
2020-03-10,24.9,7.5,9.9,495.1,2.2,310.3,0.21,3.44,0.02
2020-03-13,25.0,7.6,10.3,445.8,5.2,291.0,0.09,0.53,0.07
2020-03-16,25.2,7.6,9.6,508.8,14.9,324.9,0.12,0.55,0.07
2020-03-19,25.1,7.5,9.4,434.6,4.5,270.7,0.16,0.92,0.03
2020-03-22,25.7,7.6,9.4,412.2,6.9,265.2,0.05,0.59,0.06
2020-03-25,27.2,7.3,9.5,410.6,9.6,271.1,0.1,1.15,0.03
2020-03-28,27.3,7.6,8.8,356.7,9.7,230.1,0.17,1.8,0.03
2020-03-31,26.5,7.6,9.0,465.3,5.7,308.4,0.08,1.34,0.06
2020-04-03,27.8,7.3,8.8,351.6,11.8,224.8,0.37,0.72,0.21
2020-04-06,28.7,7.5,8.4,375.1,4.5,238.7,0.05,1.56,0.03
2020-04-09,27.2,7.5,9.1,345.5,13.0,217.6,0.37,1.65,0.04
2020-04-12,29.3,7.5,9.0,428.8,3.4,274.3,0.07,3.19,0.03
2020-04-15,28.7,7.6,8.8,444.4,3.6,271.1,0.06,0.66,0.04
2020-04-18,30.1,7.7,8.2,433.3,2.3,284.7,0.08,1.68,0.05
2020-04-21,29.4,7.7,8.4,399.3,9.9,267.6,0.2,2.92,0.08
2020-04-24,28.9,7.3,8.2,386.2,4.7,255.6,0.19,1.2,0.02
2020-04-27,29.4,7.6,8.8,504.0,3.3,328.7,0.07,0.95,0.18
2020-05-03,31.6,7.6,7.9,453.4,13.6,294.6,0.15,2.52,0.13
2020-05-06,31.0,7.7,9.0,408.1,11.0,279.2,0.11,1.0,0.13
2020-05-09,32.5,7.8,7.7,453.0,6.0,287.1,0.21,3.09,0.06
2020-05-12,31.0,7.7,7.8,505.0,6.8,349.1,0.05,2.38,0.03
2020-05-15,32.6,7.5,7.5,465.9,5.2,296.8,0.14,0.97,0.06
2020-05-18,31.9,7.7,8.2,433.7,4.5,264.2,0.18,1.35,0.07
2020-05-21,32.6,7.5,7.7,456.0,14.4,313.7,0.5,0.53,0.12
2020-05-24,33.4,7.5,7.0,447.6,2.7,294.1,0.16,0.81,0.06
2020-05-27,32.9,7.4,7.8,460.3,4.7,312.3,0.08,1.74,0.05
2020-05-30,33.5,7.7,7.2,447.5,4.1,303.4,0.06,1.63,0.11
2020-06-02,34.9,7.4,7.6,433.3,5.4,285.3,0.15,0.94,0.22
2020-06-05,33.8,7.7,7.7,465.4,5.1,288.3,0.12,2.15,0.07
2020-06-08,35.0,7.6,7.0,406.7,5.7,270.9,0.28,0.77,0.12
2020-06-11,33.6,7.3,7.7,394.5,2.8,256.3,0.18,1.12,0.07
2020-06-14,35.0,7.6,7.0,372.9,5.6,257.2,0.12,1.14,0.08
2020-06-17,35.0,7.2,7.3,386.1,3.4,237.8,0.1,0.92,0.08
2020-06-20,32.9,7.6,7.7,391.4,3.0,265.6,0.1,3.59,0.08
2020-06-23,34.3,7.6,7.0,464.3,60.9,298.9,0.08,1.69,0.04
2020-06-26,35.0,7.4,7.0,397.1,9.2,267.7,0.05,1.27,0.06
2020-06-29,34.8,7.5,7.4,463.5,4.8,307.6,0.14,1.21,0.07
2020-07-02,35.0,7.8,7.0,446.0,6.9,293.2,0.07,0.67,0.04
2020-07-05,34.5,7.4,7.0,350.3,8.5,226.4,0.07,0.97,0.04
2020-07-08,35.0,7.3,7.0,472.1,7.7,295.5,0.06,1.62,0.09
2020-07-11,34.8,7.7,7.2,490.4,5.2,333.7,0.07,3.08,0.06
2020-07-14,35.0,7.8,7.6,383.4,4.5,272.5,0.05,2.2,0.03
2020-07-17,34.9,7.5,7.0,459.8,4.4,292.1,0.16,0.86,0.11
2020-07-20,34.9,7.7,7.0,413.9,7.1,288.2,0.1,1.07,0.13
2020-07-23,34.2,7.7,7.6,460.9,5.4,289.7,0.13,0.59,0.05
2020-07-26,34.0,7.4,7.3,382.9,11.5,235.9,0.15,0.61,0.03
2020-07-29,33.8,7.4,7.4,350.2,12.4,233.8,0.41,1.14,0.17
2020-08-01,34.3,7.7,7.0,420.6,2.9,280.7,0.06,1.26,0.13
2020-08-04,33.5,7.8,7.5,440.1,2.7,288.9,0.1,0.81,0.03
2020-08-07,33.8,7.6,7.3,436.6,7.0,292.5,0.08,1.53,0.03
2020-08-10,35.0,7.4,7.3,400.1,3.8,272.8,0.11,1.72,0.05
2020-08-13,33.8,7.8,7.7,425.0,2.1,270.6,0.3,0.86,0.08
2020-08-16,32.6,7.4,8.4,451.9,13.0,297.7,0.18,1.92,0.03
2020-08-19,33.5,7.4,7.6,450.4,3.3,302.3,0.16,0.73,0.06
2020-08-22,31.9,7.6,7.9,450.9,15.2,300.8,0.11,1.29,0.05
2020-08-25,30.3,7.7,8.3,411.3,8.3,272.9,0.16,2.13,0.13
2020-08-28,30.8,7.6,8.0,521.8,9.2,323.2,0.05,1.27,0.05
2020-08-31,29.8,7.6,8.5,399.5,3.1,261.8,0.14,2.89,0.06
2020-09-03,30.7,7.6,8.1,476.0,3.3,287.7,0.13,0.56,0.18
2020-09-06,30.6,7.5,8.2,496.4,5.7,312.3,0.09,1.39,0.04
2020-09-09,31.6,7.6,8.3,476.2,2.9,294.1,0.07,1.32,0.04
2020-09-12,30.2,7.1,8.0,450.5,3.8,284.6,0.21,1.58,0.1
2020-09-15,29.4,7.5,8.8,419.8,3.9,272.6,0.06,2.29,0.04
2020-09-18,29.8,7.5,8.8,515.3,2.9,330.4,0.06,1.79,0.11
2020-09-21,27.0,7.3,9.1,391.8,3.1,269.6,0.11,2.06,0.03
2020-09-24,28.6,7.6,8.1,418.1,9.8,261.8,0.08,0.84,0.03
2020-09-27,28.6,7.5,8.5,433.2,2.9,273.8,0.19,0.99,0.14
2020-09-30,26.4,7.8,9.7,517.8,2.1,351.7,0.15,1.49,0.06
2020-10-03,28.1,7.7,8.8,483.1,7.0,297.4,0.2,1.31,0.08
2020-10-06,27.1,7.4,8.8,406.1,20.6,277.0,0.09,3.75,0.03
2020-10-09,26.1,7.5,9.2,429.5,4.0,282.7,0.18,0.71,0.03
2020-10-12,26.6,7.5,9.5,414.8,2.6,266.9,0.25,0.93,0.11
2020-10-15,27.5,7.4,9.2,416.9,6.2,273.1,0.09,1.35,0.04
2020-10-18,25.5,7.5,9.5,486.0,13.8,319.5,0.09,2.52,0.05
2020-10-21,25.2,7.4,9.5,380.0,9.7,239.8,0.28,3.15,0.02
2020-10-24,24.2,7.3,9.8,541.4,6.9,376.0,0.06,0.91,0.04
2020-10-27,23.6,7.6,9.8,469.5,3.9,305.5,0.09,0.57,0.09
2020-10-30,24.6,7.6,10.3,519.9,5.9,339.6,0.06,1.05,0.11
2020-11-02,22.9,7.4,10.1,438.1,2.5,291.3,0.05,1.0,0.08
2020-11-05,23.3,7.6,10.5,437.9,7.7,277.1,0.06,4.0,0.08
2020-11-08,22.6,7.4,10.8,383.8,8.5,251.8,0.11,1.06,0.06
2020-11-11,23.0,7.5,10.5,423.8,18.8,284.8,0.17,0.86,0.06
2020-11-14,22.6,7.6,10.2,487.0,3.5,315.6,0.08,0.95,0.09
2020-11-17,22.9,7.5,10.3,524.6,2.1,332.8,0.24,1.01,0.03
2020-11-20,21.4,7.6,10.6,380.6,5.9,249.1,0.11,2.22,0.03
2020-11-23,21.3,7.4,10.4,437.6,100.3,300.4,0.39,0.58,0.17
2020-11-26,20.6,7.5,10.9,440.4,9.8,268.2,0.36,0.88,0.02
2020-11-29,20.8,7.5,10.4,381.0,3.1,238.0,0.2,3.89,0.03
2020-12-02,21.2,7.4,11.0,472.3,3.5,299.3,0.32,0.67,0.06
2020-12-05,21.4,7.5,10.5,431.3,84.8,275.0,0.17,1.86,0.09
2020-12-08,20.0,7.3,11.0,450.6,4.0,287.3,0.28,0.94,0.06
2020-12-11,21.1,7.4,10.8,420.0,11.8,273.0,0.08,1.37,0.04
2020-12-14,21.4,7.5,10.5,397.2,5.2,254.5,0.09,0.6,0.21
2020-12-17,20.6,7.5,11.0,445.8,10.0,274.9,0.19,0.87,0.08
2020-12-20,21.6,7.5,10.4,443.6,6.3,284.7,0.11,1.19,0.11
2020-12-23,20.0,7.5,11.0,433.8,9.4,287.1,0.23,0.76,0.02
2020-12-26,20.0,7.6,10.6,426.1,4.0,262.3,0.26,1.28,0.03
2020-12-29,20.0,7.6,11.0,473.9,10.9,322.5,0.09,0.75,0.04
2021-01-01,21.2,7.4,11.0,542.4,3.6,351.7,0.22,1.55,0.03
2021-01-04,20.5,7.3,10.6,460.3,5.9,308.1,0.07,2.85,0.02
2021-01-07,20.0,7.3,10.8,485.9,3.2,330.8,0.09,0.59,0.03
2021-01-10,20.3,7.4,11.0,378.5,5.2,263.7,0.12,0.74,0.06
2021-01-13,20.0,7.4,11.0,468.5,3.9,307.7,0.08,2.36,0.08
2021-01-16,22.2,7.4,10.5,394.6,3.6,257.0,0.14,1.5,0.09
2021-01-19,20.5,7.3,11.0,381.2,19.1,243.7,0.14,0.58,0.02
2021-01-22,20.6,7.4,11.0,409.8,2.9,269.4,0.07,1.17,0.05
2021-01-25,21.3,7.5,11.0,499.3,9.7,340.3,0.21,0.74,0.03
2021-01-28,21.2,7.6,10.8,496.3,22.7,307.3,0.15,0.72,0.05
2021-01-31,21.2,7.4,10.6,465.2,2.1,297.0,0.09,3.32,0.05
2021-02-03,20.6,7.4,11.0,366.8,8.0,245.3,0.08,1.93,0.05
2021-02-06,21.8,7.4,11.0,437.8,3.5,290.5,0.26,1.69,0.13
2021-02-09,23.2,7.5,10.1,455.7,2.2,290.2,0.23,0.77,0.1
2021-02-12,23.0,7.4,9.9,470.0,4.6,320.3,0.08,0.63,0.07
2021-02-15,23.5,7.6,10.4,354.9,15.7,217.0,0.05,2.55,0.13
2021-02-18,22.1,7.2,10.4,420.0,2.1,287.6,0.21,0.51,0.08
2021-02-21,22.0,7.4,9.8,462.1,6.4,301.2,0.15,0.99,0.11
2021-02-24,23.0,7.5,10.5,476.0,5.5,310.8,0.06,0.83,0.06
2021-02-27,23.5,7.5,9.9,330.1,12.3,233.6,0.14,1.34,0.06
2021-03-02,24.6,7.9,9.7,421.0,2.4,281.1,0.11,0.79,0.08
2021-03-05,22.7,7.6,10.4,442.4,82.4,291.0,0.2,0.87,0.02
2021-03-08,25.6,7.3,9.6,478.7,7.7,304.8,0.07,2.4,0.08
2021-03-11,24.7,7.5,10.0,498.4,7.5,327.2,0.11,1.42,0.16
2021-03-14,24.8,7.2,9.6,480.3,16.3,331.4,0.07,0.66,0.08
2021-03-17,24.7,7.5,9.9,413.9,10.7,274.0,0.37,1.8,0.02
2021-03-20,24.6,7.4,9.7,332.4,2.2,217.9,0.2,0.73,0.04
2021-03-23,26.9,7.6,9.4,418.4,5.2,260.6,0.18,1.07,0.1
2021-03-26,26.7,7.4,9.4,509.0,4.5,345.3,0.17,1.54,0.18
2021-03-29,26.0,7.5,9.1,522.5,3.9,346.8,0.11,0.82,0.04
2021-04-01,26.4,7.4,9.6,484.1,5.0,299.5,0.31,0.98,0.11
2021-04-04,27.5,7.8,8.8,477.1,4.4,321.5,0.06,1.82,0.12
2021-04-07,29.5,7.5,8.7,485.3,4.8,297.0,0.21,3.28,0.03
2021-04-10,28.4,7.8,8.9,420.0,21.4,270.3,0.07,1.25,0.11
2021-04-13,27.8,7.6,9.5,444.2,2.5,290.7,0.09,0.51,0.04
2021-04-16,29.1,7.6,8.5,535.4,14.8,367.6,0.12,0.91,0.06
